,Year,Province,Products,VALUE
4070,2014,Northwest Territories,"Interurban, charter and tour bus transport",0.1
4071,2014,Northwest Territories,Taxis,0.4
4072,2014,Northwest Territories,Vehicle rental,0.9
4073,2014,Northwest Territories,Vehicle repairs and parts,1.4
4074,2014,Northwest Territories,Vehicle fuel,
4075,2014,Northwest Territories,Total accommodation,7.4
4076,2014,Northwest Territories,Hotels,5.8
4077,2014,Northwest Territories,Motels,0.2
4078,2014,Northwest Territories,Camping,0.9
4079,2014,Northwest Territories,Other accommodation,0.5
4080,2014,Northwest Territories,Total food and beverage services,6.4
4081,2014,Northwest Territories,Meals from accommodation,1.5
4082,2014,Northwest Territories,Meals from restaurants,3.8
4083,2014,Northwest Territories,Alcoholic beverages from accommodation,0.4
4084,2014,Northwest Territories,Alcoholic beverages from restaurants,0.3
4085,2014,Northwest Territories,Meals and alcoholic beverages from other tourism industries,0.4
4086,2014,Northwest Territories,Total other tourism products,7.3
4087,2014,Northwest Territories,Recreation and entertainment,1.8
4088,2014,Northwest Territories,Travel services,4.3
4089,2014,Northwest Territories,Convention fees,1.2
4090,2014,Northwest Territories,Pre-trip expenses,0.0
4091,2014,Northwest Territories,Total other products,18.7
4092,2014,Northwest Territories,Groceries,2.1
4093,2014,Northwest Territories,"Beer, wine, and liquor from stores",0.3
4094,2014,Northwest Territories,Urban transit and parking,0.2
4095,2014,Northwest Territories,Miscellaneous products,16.1
4096,2014,Northwest Territories,Total tourism expenditures,20.6
4097,2014,Northwest Territories,Total tourism products,19.4
4098,2014,Northwest Territories,Total transportation,4.8
4099,2014,Northwest Territories,Passenger air transport,
4100,2014,Northwest Territories,Passenger rail transport,
4101,2014,Northwest Territories,Passenger water transport,
4102,2014,Northwest Territories,"Interurban, charter and tour bus transport",
4103,2014,Northwest Territories,Taxis,
4104,2014,Northwest Territories,Vehicle rental,
4105,2014,Northwest Territories,Vehicle repairs and parts,
4106,2014,Northwest Territories,Vehicle fuel,
4107,2014,Northwest Territories,Total accommodation,7.5
4108,2014,Northwest Territories,Hotels,
4109,2014,Northwest Territories,Motels,
4110,2014,Northwest Territories,Camping,
4111,2014,Northwest Territories,Other accommodation,
4112,2014,Northwest Territories,Total food and beverage services,5.0
4113,2014,Northwest Territories,Meals from accommodation,
4114,2014,Northwest Territories,Meals from restaurants,
4115,2014,Northwest Territories,Alcoholic beverages from accommodation,
4116,2014,Northwest Territories,Alcoholic beverages from restaurants,
4117,2014,Northwest Territories,Meals and alcoholic beverages from other tourism industries,
4118,2014,Northwest Territories,Total other tourism products,2.1
4119,2014,Northwest Territories,Recreation and entertainment,
4120,2014,Northwest Territories,Travel services,
4121,2014,Northwest Territories,Convention fees,
4122,2014,Northwest Territories,Pre-trip expenses,
4123,2014,Northwest Territories,Total other products,1.3
4124,2014,Northwest Territories,Groceries,
4125,2014,Northwest Territories,"Beer, wine, and liquor from stores",
4126,2014,Northwest Territories,Urban transit and parking,
4127,2014,Northwest Territories,Miscellaneous products,
4128,2014,Northwest Territories,Total tourism expenditures,2.5
4129,2014,Northwest Territories,Total tourism products,35.3
4130,2014,Northwest Territories,Total transportation,31.2
4131,2014,Northwest Territories,Passenger air transport,33.8
4132,2014,Northwest Territories,Passenger rail transport,
4133,2014,Northwest Territories,Passenger water transport,64.5
4134,2014,Northwest Territories,"Interurban, charter and tour bus transport",97.0
4135,2014,Northwest Territories,Taxis,18.5
4136,2014,Northwest Territories,Vehicle rental,69.1
4137,2014,Northwest Territories,Vehicle repairs and parts,15.8
4138,2014,Northwest Territories,Vehicle fuel,15.6
4139,2014,Northwest Territories,Total accommodation,66.6
4140,2014,Northwest Territories,Hotels,69.7
4141,2014,Northwest Territories,Motels,50.0
4142,2014,Northwest Territories,Camping,36.7
4143,2014,Northwest Territories,Other accommodation,84.1
4144,2014,Northwest Territories,Total food and beverage services,23.7
4145,2014,Northwest Territories,Meals from accommodation,23.0
4146,2014,Northwest Territories,Meals from restaurants,23.2
4147,2014,Northwest Territories,Alcoholic beverages from accommodation,25.1
4148,2014,Northwest Territories,Alcoholic beverages from restaurants,26.3
4149,2014,Northwest Territories,Meals and alcoholic beverages from other tourism industries,23.7
4150,2014,Northwest Territories,Total other tourism products,67.0
4151,2014,Northwest Territories,Recreation and entertainment,42.4
4152,2014,Northwest Territories,Travel services,98.0
4153,2014,Northwest Territories,Convention fees,69.8
4154,2014,Northwest Territories,Pre-trip expenses,100.0
4155,2014,Northwest Territories,Total other products,0.2
4156,2014,Northwest Territories,Groceries,3.4
4157,2014,Northwest Territories,"Beer, wine, and liquor from stores",3.5
4158,2014,Northwest Territories,Urban transit and parking,8.4
4159,2014,Northwest Territories,Miscellaneous products,0.2
4160,2014,Nunavut,Total tourism expenditures,4637.6
4161,2014,Nunavut,Total tourism products,162.2
4162,2014,Nunavut,Total transportation,104.7
4163,2014,Nunavut,Passenger air transport,71.9
4164,2014,Nunavut,Passenger rail transport,0.0
4165,2014,Nunavut,Passenger water transport,0.0
4166,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4167,2014,Nunavut,Taxis,3.8
4168,2014,Nunavut,Vehicle rental,1.7
4169,2014,Nunavut,Vehicle repairs and parts,2.6
4170,2014,Nunavut,Vehicle fuel,24.7
4171,2014,Nunavut,Total accommodation,18.4
4172,2014,Nunavut,Hotels,14.4
4173,2014,Nunavut,Motels,0.3
4174,2014,Nunavut,Camping,0.9
4175,2014,Nunavut,Other accommodation,2.8
4176,2014,Nunavut,Total food and beverage services,28.5
4177,2014,Nunavut,Meals from accommodation,11.8
4178,2014,Nunavut,Meals from restaurants,6.7
4179,2014,Nunavut,Alcoholic beverages from accommodation,5.0
4180,2014,Nunavut,Alcoholic beverages from restaurants,3.6
4181,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,1.4
4182,2014,Nunavut,Total other tourism products,10.6
4183,2014,Nunavut,Recreation and entertainment,4.4
4184,2014,Nunavut,Travel services,2.7
4185,2014,Nunavut,Convention fees,1.9
4186,2014,Nunavut,Pre-trip expenses,1.6
4187,2014,Nunavut,Total other products,4475.4
4188,2014,Nunavut,Groceries,100.1
4189,2014,Nunavut,"Beer, wine, and liquor from stores",2.1
4190,2014,Nunavut,Urban transit and parking,0.0
4191,2014,Nunavut,Miscellaneous products,4373.2
4192,2014,Nunavut,Total tourism expenditures,72.0
4193,2014,Nunavut,Total tourism products,60.6
4194,2014,Nunavut,Total transportation,31.2
4195,2014,Nunavut,Passenger air transport,24.3
4196,2014,Nunavut,Passenger rail transport,0.0
4197,2014,Nunavut,Passenger water transport,0.0
4198,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4199,2014,Nunavut,Taxis,0.5
4200,2014,Nunavut,Vehicle rental,0.8
4201,2014,Nunavut,Vehicle repairs and parts,0.5
4202,2014,Nunavut,Vehicle fuel,5.1
4203,2014,Nunavut,Total accommodation,10.6
4204,2014,Nunavut,Hotels,8.6
4205,2014,Nunavut,Motels,0.1
4206,2014,Nunavut,Camping,0.3
4207,2014,Nunavut,Other accommodation,1.6
4208,2014,Nunavut,Total food and beverage services,12.3
4209,2014,Nunavut,Meals from accommodation,4.8
4210,2014,Nunavut,Meals from restaurants,2.8
4211,2014,Nunavut,Alcoholic beverages from accommodation,2.4
4212,2014,Nunavut,Alcoholic beverages from restaurants,1.7
4213,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,0.6
4214,2014,Nunavut,Total other tourism products,6.5
4215,2014,Nunavut,Recreation and entertainment,1.1
4216,2014,Nunavut,Travel services,2.7
4217,2014,Nunavut,Convention fees,1.1
4218,2014,Nunavut,Pre-trip expenses,1.6
4219,2014,Nunavut,Total other products,11.4
4220,2014,Nunavut,Groceries,8.4
4221,2014,Nunavut,"Beer, wine, and liquor from stores",0.2
4222,2014,Nunavut,Urban transit and parking,0.0
4223,2014,Nunavut,Miscellaneous products,2.8
4224,2014,Nunavut,Total tourism expenditures,39.9
4225,2014,Nunavut,Total tourism products,34.0
4226,2014,Nunavut,Total transportation,21.3
4227,2014,Nunavut,Passenger air transport,14.7
4228,2014,Nunavut,Passenger rail transport,0.0
4229,2014,Nunavut,Passenger water transport,0.0
4230,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4231,2014,Nunavut,Taxis,0.4
4232,2014,Nunavut,Vehicle rental,0.7
4233,2014,Nunavut,Vehicle repairs and parts,0.5
4234,2014,Nunavut,Vehicle fuel,5.0
4235,2014,Nunavut,Total accommodation,5.2
4236,2014,Nunavut,Hotels,4.5
4237,2014,Nunavut,Motels,0.1
4238,2014,Nunavut,Camping,0.2
4239,2014,Nunavut,Other accommodation,0.4
4240,2014,Nunavut,Total food and beverage services,2.7
4241,2014,Nunavut,Meals from accommodation,0.9
4242,2014,Nunavut,Meals from restaurants,0.5
4243,2014,Nunavut,Alcoholic beverages from accommodation,0.7
4244,2014,Nunavut,Alcoholic beverages from restaurants,0.5
4245,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,0.1
4246,2014,Nunavut,Total other tourism products,4.8
4247,2014,Nunavut,Recreation and entertainment,0.7
4248,2014,Nunavut,Travel services,1.5
4249,2014,Nunavut,Convention fees,1.0
4250,2014,Nunavut,Pre-trip expenses,1.6
4251,2014,Nunavut,Total other products,5.9
4252,2014,Nunavut,Groceries,3.2
4253,2014,Nunavut,"Beer, wine, and liquor from stores",0.1
4254,2014,Nunavut,Urban transit and parking,0.0
4255,2014,Nunavut,Miscellaneous products,2.6
4256,2014,Nunavut,Total tourism expenditures,32.0
4257,2014,Nunavut,Total tourism products,26.4
4258,2014,Nunavut,Total transportation,9.8
4259,2014,Nunavut,Passenger air transport,9.6
4260,2014,Nunavut,Passenger rail transport,0.0
4261,2014,Nunavut,Passenger water transport,0.0
4262,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4263,2014,Nunavut,Taxis,0.1
4264,2014,Nunavut,Vehicle rental,0.0
4265,2014,Nunavut,Vehicle repairs and parts,0.0
4266,2014,Nunavut,Vehicle fuel,0.1
4267,2014,Nunavut,Total accommodation,5.4
4268,2014,Nunavut,Hotels,4.1
4269,2014,Nunavut,Motels,0.0
4270,2014,Nunavut,Camping,0.1
4271,2014,Nunavut,Other accommodation,1.2
4272,2014,Nunavut,Total food and beverage services,9.6
4273,2014,Nunavut,Meals from accommodation,3.9
4274,2014,Nunavut,Meals from restaurants,2.3
4275,2014,Nunavut,Alcoholic beverages from accommodation,1.7
4276,2014,Nunavut,Alcoholic beverages from restaurants,1.2
4277,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,0.5
4278,2014,Nunavut,Total other tourism products,1.6
4279,2014,Nunavut,Recreation and entertainment,0.4
4280,2014,Nunavut,Travel services,1.1
4281,2014,Nunavut,Convention fees,0.1
4282,2014,Nunavut,Pre-trip expenses,0.0
4283,2014,Nunavut,Total other products,5.6
4284,2014,Nunavut,Groceries,5.3
4285,2014,Nunavut,"Beer, wine, and liquor from stores",0.1
4286,2014,Nunavut,Urban transit and parking,0.0
4287,2014,Nunavut,Miscellaneous products,0.2
4288,2014,Nunavut,Total tourism expenditures,3.9
4289,2014,Nunavut,Total tourism products,3.7
4290,2014,Nunavut,Total transportation,2.9
4291,2014,Nunavut,Passenger air transport,2.7
4292,2014,Nunavut,Passenger rail transport,0.0
4293,2014,Nunavut,Passenger water transport,0.0
4294,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4295,2014,Nunavut,Taxis,0.1
4296,2014,Nunavut,Vehicle rental,0.0
4297,2014,Nunavut,Vehicle repairs and parts,0.0
4298,2014,Nunavut,Vehicle fuel,0.1
4299,2014,Nunavut,Total accommodation,0.1
4300,2014,Nunavut,Hotels,0.1
4301,2014,Nunavut,Motels,0.0
4302,2014,Nunavut,Camping,0.0
4303,2014,Nunavut,Other accommodation,0.0
4304,2014,Nunavut,Total food and beverage services,0.5
4305,2014,Nunavut,Meals from accommodation,0.1
4306,2014,Nunavut,Meals from restaurants,0.2
4307,2014,Nunavut,Alcoholic beverages from accommodation,0.1
4308,2014,Nunavut,Alcoholic beverages from restaurants,0.1
4309,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,0.0
4310,2014,Nunavut,Total other tourism products,0.2
4311,2014,Nunavut,Recreation and entertainment,0.2
4312,2014,Nunavut,Travel services,0.0
4313,2014,Nunavut,Convention fees,0.0
4314,2014,Nunavut,Pre-trip expenses,0.0
4315,2014,Nunavut,Total other products,0.2
4316,2014,Nunavut,Groceries,0.2
4317,2014,Nunavut,"Beer, wine, and liquor from stores",0.0
4318,2014,Nunavut,Urban transit and parking,0.0
4319,2014,Nunavut,Miscellaneous products,0.0
4320,2014,Nunavut,Total tourism expenditures,27.9
4321,2014,Nunavut,Total tourism products,22.5
4322,2014,Nunavut,Total transportation,6.9
4323,2014,Nunavut,Passenger air transport,6.9
4324,2014,Nunavut,Passenger rail transport,0.0
4325,2014,Nunavut,Passenger water transport,0.0
4326,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4327,2014,Nunavut,Taxis,0.0
4328,2014,Nunavut,Vehicle rental,0.0
4329,2014,Nunavut,Vehicle repairs and parts,0.0
4330,2014,Nunavut,Vehicle fuel,0.0
4331,2014,Nunavut,Total accommodation,5.2
4332,2014,Nunavut,Hotels,4.0
4333,2014,Nunavut,Motels,0.0
4334,2014,Nunavut,Camping,0.0
4335,2014,Nunavut,Other accommodation,1.2
4336,2014,Nunavut,Total food and beverage services,9.0
4337,2014,Nunavut,Meals from accommodation,3.8
4338,2014,Nunavut,Meals from restaurants,2.1
4339,2014,Nunavut,Alcoholic beverages from accommodation,1.6
4340,2014,Nunavut,Alcoholic beverages from restaurants,1.1
4341,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,0.4
4342,2014,Nunavut,Total other tourism products,1.4
4343,2014,Nunavut,Recreation and entertainment,0.2
4344,2014,Nunavut,Travel services,1.1
4345,2014,Nunavut,Convention fees,0.1
4346,2014,Nunavut,Pre-trip expenses,0.0
4347,2014,Nunavut,Total other products,5.4
4348,2014,Nunavut,Groceries,5.1
4349,2014,Nunavut,"Beer, wine, and liquor from stores",0.1
4350,2014,Nunavut,Urban transit and parking,0.0
4351,2014,Nunavut,Miscellaneous products,0.2
4352,2014,Nunavut,Total tourism expenditures,24.5
4353,2014,Nunavut,Total tourism products,15.7
4354,2014,Nunavut,Total transportation,5.2
4355,2014,Nunavut,Passenger air transport,
4356,2014,Nunavut,Passenger rail transport,
4357,2014,Nunavut,Passenger water transport,
4358,2014,Nunavut,"Interurban, charter and tour bus transport",
4359,2014,Nunavut,Taxis,
4360,2014,Nunavut,Vehicle rental,
4361,2014,Nunavut,Vehicle repairs and parts,
4362,2014,Nunavut,Vehicle fuel,
4363,2014,Nunavut,Total accommodation,3.1
4364,2014,Nunavut,Hotels,
4365,2014,Nunavut,Motels,
4366,2014,Nunavut,Camping,
4367,2014,Nunavut,Other accommodation,
4368,2014,Nunavut,Total food and beverage services,4.3
4369,2014,Nunavut,Meals from accommodation,
4370,2014,Nunavut,Meals from restaurants,
4371,2014,Nunavut,Alcoholic beverages from accommodation,
4372,2014,Nunavut,Alcoholic beverages from restaurants,
4373,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,
4374,2014,Nunavut,Total other tourism products,3.2
4375,2014,Nunavut,Recreation and entertainment,
4376,2014,Nunavut,Travel services,
4377,2014,Nunavut,Convention fees,
4378,2014,Nunavut,Pre-trip expenses,
4379,2014,Nunavut,Total other products,8.8
4380,2014,Nunavut,Groceries,
4381,2014,Nunavut,"Beer, wine, and liquor from stores",
4382,2014,Nunavut,Urban transit and parking,
4383,2014,Nunavut,Miscellaneous products,
4384,2014,Nunavut,Total tourism expenditures,20.8
4385,2014,Nunavut,Total tourism products,12.5
4386,2014,Nunavut,Total transportation,3.5
4387,2014,Nunavut,Passenger air transport,2.3
4388,2014,Nunavut,Passenger rail transport,0.0
4389,2014,Nunavut,Passenger water transport,0.0
4390,2014,Nunavut,"Interurban, charter and tour bus transport",0.0
4391,2014,Nunavut,Taxis,0.2
4392,2014,Nunavut,Vehicle rental,0.3
4393,2014,Nunavut,Vehicle repairs and parts,0.7
4394,2014,Nunavut,Vehicle fuel,
4395,2014,Nunavut,Total accommodation,2.7
4396,2014,Nunavut,Hotels,2.4
4397,2014,Nunavut,Motels,0.0
4398,2014,Nunavut,Camping,0.1
4399,2014,Nunavut,Other accommodation,0.2
4400,2014,Nunavut,Total food and beverage services,3.1
4401,2014,Nunavut,Meals from accommodation,1.7
4402,2014,Nunavut,Meals from restaurants,0.9
4403,2014,Nunavut,Alcoholic beverages from accommodation,0.2
4404,2014,Nunavut,Alcoholic beverages from restaurants,0.1
4405,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,0.2
4406,2014,Nunavut,Total other tourism products,3.2
4407,2014,Nunavut,Recreation and entertainment,0.6
4408,2014,Nunavut,Travel services,2.0
4409,2014,Nunavut,Convention fees,0.6
4410,2014,Nunavut,Pre-trip expenses,0.0
4411,2014,Nunavut,Total other products,8.3
4412,2014,Nunavut,Groceries,1.0
4413,2014,Nunavut,"Beer, wine, and liquor from stores",0.2
4414,2014,Nunavut,Urban transit and parking,0.1
4415,2014,Nunavut,Miscellaneous products,7.0
4416,2014,Nunavut,Total tourism expenditures,3.7
4417,2014,Nunavut,Total tourism products,3.1
4418,2014,Nunavut,Total transportation,1.6
4419,2014,Nunavut,Passenger air transport,
4420,2014,Nunavut,Passenger rail transport,
4421,2014,Nunavut,Passenger water transport,
4422,2014,Nunavut,"Interurban, charter and tour bus transport",
4423,2014,Nunavut,Taxis,
4424,2014,Nunavut,Vehicle rental,
4425,2014,Nunavut,Vehicle repairs and parts,
4426,2014,Nunavut,Vehicle fuel,
4427,2014,Nunavut,Total accommodation,0.3
4428,2014,Nunavut,Hotels,
4429,2014,Nunavut,Motels,
4430,2014,Nunavut,Camping,
4431,2014,Nunavut,Other accommodation,
4432,2014,Nunavut,Total food and beverage services,1.2
4433,2014,Nunavut,Meals from accommodation,
4434,2014,Nunavut,Meals from restaurants,
4435,2014,Nunavut,Alcoholic beverages from accommodation,
4436,2014,Nunavut,Alcoholic beverages from restaurants,
4437,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,
4438,2014,Nunavut,Total other tourism products,0.0
4439,2014,Nunavut,Recreation and entertainment,
4440,2014,Nunavut,Travel services,
4441,2014,Nunavut,Convention fees,
4442,2014,Nunavut,Pre-trip expenses,
4443,2014,Nunavut,Total other products,0.6
4444,2014,Nunavut,Groceries,
4445,2014,Nunavut,"Beer, wine, and liquor from stores",
4446,2014,Nunavut,Urban transit and parking,
4447,2014,Nunavut,Miscellaneous products,
4448,2014,Nunavut,Total tourism expenditures,1.5
4449,2014,Nunavut,Total tourism products,37.3
4450,2014,Nunavut,Total transportation,29.8
4451,2014,Nunavut,Passenger air transport,33.8
4452,2014,Nunavut,Passenger rail transport,
4453,2014,Nunavut,Passenger water transport,0.0
4454,2014,Nunavut,"Interurban, charter and tour bus transport",
4455,2014,Nunavut,Taxis,13.0
4456,2014,Nunavut,Vehicle rental,46.4
4457,2014,Nunavut,Vehicle repairs and parts,19.9
4458,2014,Nunavut,Vehicle fuel,20.7
4459,2014,Nunavut,Total accommodation,57.4
4460,2014,Nunavut,Hotels,59.5
4461,2014,Nunavut,Motels,34.8
4462,2014,Nunavut,Camping,30.0
4463,2014,Nunavut,Other accommodation,57.3
4464,2014,Nunavut,Total food and beverage services,43.1
4465,2014,Nunavut,Meals from accommodation,40.5
4466,2014,Nunavut,Meals from restaurants,41.9
4467,2014,Nunavut,Alcoholic beverages from accommodation,47.1
4468,2014,Nunavut,Alcoholic beverages from restaurants,48.3
4469,2014,Nunavut,Meals and alcoholic beverages from other tourism industries,43.2
4470,2014,Nunavut,Total other tourism products,61.0
4471,2014,Nunavut,Recreation and entertainment,25.0
4472,2014,Nunavut,Travel services,98.0
4473,2014,Nunavut,Convention fees,59.4
4474,2014,Nunavut,Pre-trip expenses,100.0
4475,2014,Nunavut,Total other products,0.3
4476,2014,Nunavut,Groceries,8.4
4477,2014,Nunavut,"Beer, wine, and liquor from stores",7.8
4478,2014,Nunavut,Urban transit and parking,
4479,2014,Nunavut,Miscellaneous products,0.1
4480,2017,Canada,Total tourism expenditures,3910989.7
4481,2017,Canada,Total tourism products,234359.8
4482,2017,Canada,Total transportation,102377.5
4483,2017,Canada,Passenger air transport,22849.1
4484,2017,Canada,Passenger rail transport,335.7
4485,2017,Canada,Passenger water transport,874.5
4486,2017,Canada,"Interurban, charter and tour bus transport",2469.2
4487,2017,Canada,Taxis,2901.9
4488,2017,Canada,Vehicle rental,3790.4
4489,2017,Canada,Vehicle repairs and parts,27867.4
4490,2017,Canada,Vehicle fuel,41289.3
4491,2017,Canada,Total accommodation,16147.0
4492,2017,Canada,Hotels,12930.5
4493,2017,Canada,Motels,884.4
4494,2017,Canada,Camping,1205.9
4495,2017,Canada,Other accommodation,1126.2
4496,2017,Canada,Total food and beverage services,78903.1
4497,2017,Canada,Meals from accommodation,2734.8
4498,2017,Canada,Meals from restaurants,62406.3
4499,2017,Canada,Alcoholic beverages from accommodation,1410.6
4500,2017,Canada,Alcoholic beverages from restaurants,9811.4
4501,2017,Canada,Meals and alcoholic beverages from other tourism industries,2540.0
4502,2017,Canada,Total other tourism products,36932.2
4503,2017,Canada,Recreation and entertainment,26568.5
4504,2017,Canada,Travel services,4886.2
4505,2017,Canada,Convention fees,971.5
4506,2017,Canada,Pre-trip expenses,4506.0
4507,2017,Canada,Total other products,3676629.9
4508,2017,Canada,Groceries,108691.2
4509,2017,Canada,"Beer, wine, and liquor from stores",22900.2
4510,2017,Canada,Urban transit and parking,4597.5
4511,2017,Canada,Miscellaneous products,3540441.0
4512,2017,Canada,Total tourism expenditures,95998.0
4513,2017,Canada,Total tourism products,81574.1
4514,2017,Canada,Total transportation,35906.1
4515,2017,Canada,Passenger air transport,20206.4
4516,2017,Canada,Passenger rail transport,313.5
4517,2017,Canada,Passenger water transport,521.2
4518,2017,Canada,"Interurban, charter and tour bus transport",889.3
4519,2017,Canada,Taxis,482.8
4520,2017,Canada,Vehicle rental,1442.6
4521,2017,Canada,Vehicle repairs and parts,4877.0
4522,2017,Canada,Vehicle fuel,7173.3
4523,2017,Canada,Total accommodation,14611.0
4524,2017,Canada,Hotels,11655.6
4525,2017,Canada,Motels,728.0
4526,2017,Canada,Camping,1136.1
4527,2017,Canada,Other accommodation,1091.3
4528,2017,Canada,Total food and beverage services,14937.8
4529,2017,Canada,Meals from accommodation,525.9
4530,2017,Canada,Meals from restaurants,11789.2
4531,2017,Canada,Alcoholic beverages from accommodation,265.0
4532,2017,Canada,Alcoholic beverages from restaurants,1879.5
4533,2017,Canada,Meals and alcoholic beverages from other tourism industries,478.2
4534,2017,Canada,Total other tourism products,16119.2
4535,2017,Canada,Recreation and entertainment,5933.8
4536,2017,Canada,Travel services,4788.5
4537,2017,Canada,Convention fees,890.9
4538,2017,Canada,Pre-trip expenses,4506.0
4539,2017,Canada,Total other products,14423.9
4540,2017,Canada,Groceries,5301.2
4541,2017,Canada,"Beer, wine, and liquor from stores",1126.7
4542,2017,Canada,Urban transit and parking,223.6
4543,2017,Canada,Miscellaneous products,7772.4
4544,2017,Canada,Total tourism expenditures,53462.7
4545,2017,Canada,Total tourism products,45489.3
4546,2017,Canada,Total transportation,21605.7
4547,2017,Canada,Passenger air transport,10672.2
4548,2017,Canada,Passenger rail transport,180.5
4549,2017,Canada,Passenger water transport,217.6
4550,2017,Canada,"Interurban, charter and tour bus transport",332.4
4551,2017,Canada,Taxis,237.2
4552,2017,Canada,Vehicle rental,316.4
4553,2017,Canada,Vehicle repairs and parts,3902.3
4554,2017,Canada,Vehicle fuel,5747.1
4555,2017,Canada,Total accommodation,5045.0
4556,2017,Canada,Hotels,3639.8
4557,2017,Canada,Motels,318.8
4558,2017,Canada,Camping,746.2
4559,2017,Canada,Other accommodation,340.2
4560,2017,Canada,Total food and beverage services,8298.3
4561,2017,Canada,Meals from accommodation,277.7
4562,2017,Canada,Meals from restaurants,6567.1
4563,2017,Canada,Alcoholic beverages from accommodation,139.6
4564,2017,Canada,Alcoholic beverages from restaurants,1045.3
4565,2017,Canada,Meals and alcoholic beverages from other tourism industries,268.6
4566,2017,Canada,Total other tourism products,10540.3
4567,2017,Canada,Recreation and entertainment,2947.7
4568,2017,Canada,Travel services,2626.0
4569,2017,Canada,Convention fees,460.6
4570,2017,Canada,Pre-trip expenses,4506.0
4571,2017,Canada,Total other products,7973.4
4572,2017,Canada,Groceries,3099.7
4573,2017,Canada,"Beer, wine, and liquor from stores",652.7
4574,2017,Canada,Urban transit and parking,152.9
4575,2017,Canada,Miscellaneous products,4068.1
4576,2017,Canada,Total tourism expenditures,42535.5
4577,2017,Canada,Total tourism products,36084.9
4578,2017,Canada,Total transportation,14300.5
4579,2017,Canada,Passenger air transport,9534.2
4580,2017,Canada,Passenger rail transport,133.0
4581,2017,Canada,Passenger water transport,303.6
4582,2017,Canada,"Interurban, charter and tour bus transport",556.9
4583,2017,Canada,Taxis,245.7
4584,2017,Canada,Vehicle rental,1126.2
4585,2017,Canada,Vehicle repairs and parts,974.7
4586,2017,Canada,Vehicle fuel,1426.2
4587,2017,Canada,Total accommodation,9565.9
4588,2017,Canada,Hotels,8015.8
4589,2017,Canada,Motels,409.1
4590,2017,Canada,Camping,389.9
4591,2017,Canada,Other accommodation,751.1
4592,2017,Canada,Total food and beverage services,6639.6
4593,2017,Canada,Meals from accommodation,248.2
4594,2017,Canada,Meals from restaurants,5222.1
4595,2017,Canada,Alcoholic beverages from accommodation,125.4
4596,2017,Canada,Alcoholic beverages from restaurants,834.2
4597,2017,Canada,Meals and alcoholic beverages from other tourism industries,209.7
4598,2017,Canada,Total other tourism products,5578.9
4599,2017,Canada,Recreation and entertainment,2986.1
4600,2017,Canada,Travel services,2162.4
4601,2017,Canada,Convention fees,430.4
4602,2017,Canada,Pre-trip expenses,0.0
4603,2017,Canada,Total other products,6450.6
4604,2017,Canada,Groceries,2201.5
4605,2017,Canada,"Beer, wine, and liquor from stores",474.0
4606,2017,Canada,Urban transit and parking,70.8
4607,2017,Canada,Miscellaneous products,3704.3
4608,2017,Canada,Total tourism expenditures,16592.3
4609,2017,Canada,Total tourism products,14607.1
4610,2017,Canada,Total transportation,6132.2
4611,2017,Canada,Passenger air transport,3998.1
4612,2017,Canada,Passenger rail transport,54.1
4613,2017,Canada,Passenger water transport,35.6
4614,2017,Canada,"Interurban, charter and tour bus transport",66.3
4615,2017,Canada,Taxis,102.2
4616,2017,Canada,Vehicle rental,498.9
4617,2017,Canada,Vehicle repairs and parts,564.6
4618,2017,Canada,Vehicle fuel,812.4
4619,2017,Canada,Total accommodation,3163.3
4620,2017,Canada,Hotels,2701.2
4621,2017,Canada,Motels,146.9
4622,2017,Canada,Camping,174.2
4623,2017,Canada,Other accommodation,141.0
4624,2017,Canada,Total food and beverage services,2744.2
4625,2017,Canada,Meals from accommodation,110.0
4626,2017,Canada,Meals from restaurants,2150.4
4627,2017,Canada,Alcoholic beverages from accommodation,56.7
4628,2017,Canada,Alcoholic beverages from restaurants,338.8
4629,2017,Canada,Meals and alcoholic beverages from other tourism industries,88.3
4630,2017,Canada,Total other tourism products,2567.4
4631,2017,Canada,Recreation and entertainment,904.9
4632,2017,Canada,Travel services,1568.6
4633,2017,Canada,Convention fees,93.9
4634,2017,Canada,Pre-trip expenses,0.0
4635,2017,Canada,Total other products,1985.2
4636,2017,Canada,Groceries,832.3
4637,2017,Canada,"Beer, wine, and liquor from stores",181.8
4638,2017,Canada,Urban transit and parking,50.9
4639,2017,Canada,Miscellaneous products,920.2
4640,2017,Canada,Total tourism expenditures,25943.1
4641,2017,Canada,Total tourism products,21477.7
